x,t,u
0.5,0.50251,1.71804
0.5,1.00503,1.62055
0.5,1.50754,1.84081
0.5,2.01005,2.19461
0.5,2.51256,2.33874
0.5,3.01508,2.11945
0.5,3.51759,2.47587
0.5,4.0201,2.31723
0.5,4.52261,2.19987
0.5,5.02513,2.04756
0.5,5.52764,1.72667
0.5,6.03015,1.59618
0.5,6.53266,1.20151
0.5,7.03518,0.8396
0.5,7.53769,0.63994
0.5,8.0402,0.41168
0.5,8.54271,0.37836
0.5,9.04523,-0.03091
0.5,9.54774,-0.13932
0.5,10.05025,-0.4855
0.5,10.55276,-0.91738
0.5,11.05528,-0.69556
0.5,11.55779,-0.88299
0.5,12.0603,-1.30596
0.5,12.56281,-1.07401
0.5,13.06533,-1.70786
0.5,13.56784,-1.5685
0.5,14.07035,-1.58764
0.5,14.57286,-1.26194
0.5,15.07538,-1.10414
0.5,15.57789,-1.05706
0.5,16.0804,-0.76431
0.5,16.58291,-0.66151
0.5,17.08543,-0.54863
0.5,17.58794,-0.10231
0.5,18.09045,0.13597
0.5,18.59296,0.38203
0.5,19.09548,0.39849
0.5,19.59799,0.11506
0.5,20.1005,-0.03485
0.5,20.60302,-0.39299
0.5,21.10553,-0.7908
0.5,21.60804,-1.25004
0.5,22.11055,-1.21249
0.5,22.61307,-1.99048
0.5,23.11558,-2.3538
0.5,23.61809,-2.72302
0.5,24.1206,-2.5785
0.5,24.62312,-2.92034
0.5,25.12563,-2.66386
0.5,25.62814,-2.63485
0.5,26.13065,-2.30485
0.5,26.63317,-2.24712
0.5,27.13568,-2.13941
0.5,27.63819,-1.76717
0.5,28.1407,-1.47568
0.5,28.64322,-1.29145
0.5,29.14573,-1.03886
0.5,29.64824,-0.97631
0.5,30.15075,-0.795
0.5,30.65327,-0.74456
0.5,31.15578,-0.66217
0.5,31.65829,-0.73141
0.5,32.1608,-0.90109
0.5,32.66332,-0.71268
0.5,33.16583,-0.8662
0.5,33.66834,-1.09104
0.5,34.17085,-0.82542
0.5,34.67337,-0.9673
0.5,35.17588,-0.7135
0.5,35.67839,-0.40803
0.5,36.1809,-0.18712
0.5,36.68342,0.3227
0.5,37.18593,0.40211
1,0.50251,1.11235
1,1.00503,1.01207
1,1.50754,1.11547
1,2.01005,1.36654
1,2.51256,1.68
1,3.01508,2.03459
1,3.51759,2.14537
1,4.0201,2.61275
1,4.52261,2.60315
1,5.02513,2.23969
1,5.52764,2.43114
1,6.03015,2.18987
1,6.53266,1.76648
1,7.03518,1.26394
1,7.53769,0.85557
1,8.0402,0.89685
1,8.54271,0.49223
1,9.04523,0.53634
1,9.54774,0.23816
1,10.05025,0.18146
1,10.55276,-0.07614
1,11.05528,-0.22105
1,11.55779,-0.52662
1,12.0603,-0.5098
1,12.56281,-0.96056
1,13.06533,-1.13644
1,13.56784,-1.11989
1,14.07035,-1.69777
1,14.57286,-1.77017
1,15.07538,-1.48598
1,15.57789,-1.73374
1,16.0804,-1.21479
1,16.58291,-1.40025
1,17.08543,-1.29399
1,17.58794,-0.78595
1,18.09045,-0.72836
1,18.59296,-0.60694
1,19.09548,-0.7332
1,19.59799,-1.04424
1,20.1005,-0.81921
1,20.60302,-1.33989
1,21.10553,-1.47861
1,21.60804,-1.77203
1,22.11055,-2.2221
1,22.61307,-2.35977
1,23.11558,-2.46479
1,23.61809,-2.57699
1,24.1206,-2.71899
1,24.62312,-2.40312
1,25.12563,-2.0987
1,25.62814,-2.19076
1,26.13065,-1.92968
1,26.63317,-1.78045
1,27.13568,-1.28293
1,27.63819,-1.25624
1,28.1407,-1.11168
1,28.64322,-1.1055
1,29.14573,-0.78834
1,29.64824,-0.84969
1,30.15075,-0.69223
1,30.65327,-0.7619
1,31.15578,-0.59861
1,31.65829,-0.6532
1,32.1608,-0.81408
1,32.66332,-0.78343
1,33.16583,-1.01453
1,33.66834,-1.0561
1,34.17085,-0.72287
1,34.67337,-0.61684
1,35.17588,-0.33378
1,35.67839,0.19332
1,36.1809,0.33701
1,36.68342,0.42907
1,37.18593,0.98388
1.5,0.50251,0.18315
1.5,1.00503,0.31653
1.5,1.50754,0.47601
1.5,2.01005,0.92826
1.5,2.51256,0.91246
1.5,3.01508,1.30631
1.5,3.51759,1.85014
1.5,4.0201,2.18652
1.5,4.52261,2.73038
1.5,5.02513,2.56216
1.5,5.52764,2.50001
1.5,6.03015,2.38979
1.5,6.53266,2.0767
1.5,7.03518,2.05923
1.5,7.53769,1.58347
1.5,8.0402,1.15799
1.5,8.54271,0.72083
1.5,9.04523,0.79233
1.5,9.54774,0.37116
1.5,10.05025,0.14634
1.5,10.55276,0.36828
1.5,11.05528,0.09082
1.5,11.55779,-0.00455
1.5,12.0603,-0.28315
1.5,12.56281,-0.42378
1.5,13.06533,-0.85138
1.5,13.56784,-1.12567
1.5,14.07035,-1.10231
1.5,14.57286,-1.48763
1.5,15.07538,-1.62028
1.5,15.57789,-1.69408
1.5,16.0804,-1.6914
1.5,16.58291,-1.76359
1.5,17.08543,-1.89432
1.5,17.58794,-1.77253
1.5,18.09045,-1.96648
1.5,18.59296,-1.57944
1.5,19.09548,-1.91445
1.5,19.59799,-1.92227
1.5,20.1005,-1.88362
1.5,20.60302,-2.14299
