x,t,u
0,0.50251,1.5745
0,1.00503,1.69866
0,1.50754,1.84116
0,2.01005,1.97944
0,2.51256,2.08425
0,3.01508,2.12613
0,3.51759,2.08337
0,4.0201,1.94934
0,4.52261,1.73569
0,5.02513,1.46845
0,5.52764,1.17833
0,6.03015,0.89073
0,6.53266,0.62071
0,7.03518,0.37322
0,7.53769,0.14627
0,8.0402,-0.06575
0,8.54271,-0.2697
0,9.04523,-0.47186
0,9.54774,-0.6762
0,10.05025,-0.88264
0,10.55276,-1.08578
0,11.05528,-1.27461
0,11.55779,-1.43316
0,12.0603,-1.54235
0,12.56281,-1.5831
0,13.06533,-1.54024
0,13.56784,-1.40654
0,14.07035,-1.18541
0,14.57286,-0.89127
0,15.07538,-0.54742
0,15.57789,-0.18191
0,16.0804,0.177
0,16.58291,0.50471
0,17.08543,0.78254
0,17.58794,0.99846
0,18.09045,1.14622
0,18.59296,1.22346
0,19.09548,1.22922
0,19.59799,1.16163
0,20.1005,1.01629
0,20.60302,0.78627
0,21.10553,0.4645
0,21.60804,0.04974
0,22.11055,-0.44457
0,22.61307,-0.98264
0,23.11558,-1.50793
0,23.61809,-1.95907
0,24.1206,-2.29291
0,24.62312,-2.49782
0,25.12563,-2.58901
0,25.62814,-2.59344
0,26.13065,-2.53608
0,26.63317,-2.43294
0,27.13568,-2.28996
0,27.63819,-2.10638
0,28.1407,-1.8812
0,28.64322,-1.62117
0,29.14573,-1.34553
0,29.64824,-1.08223
0,30.15075,-0.85765
0,30.65327,-0.68871
0,31.15578,-0.58199
0,31.65829,-0.53658
0,32.1608,-0.54652
0,32.66332,-0.60147
0,33.16583,-0.68635
0,33.66834,-0.7809
0,34.17085,-0.86024
0,34.67337,-0.89686
0,35.17588,-0.86404
0,35.67839,-0.74013
0,36.1809,-0.51268
0,36.68342,-0.18269
0,37.18593,0.22983
63.5,0.50251,1.40838
63.5,1.00503,1.55503
63.5,1.50754,1.68595
63.5,2.01005,1.77736
63.5,2.51256,1.8077
63.5,3.01508,1.76279
63.5,3.51759,1.63947
63.5,4.0201,1.44688
63.5,4.52261,1.2042
63.5,5.02513,0.93486
63.5,5.52764,0.65953
63.5,6.03015,0.39146
63.5,6.53266,0.13575
63.5,7.03518,-0.10828
63.5,7.53769,-0.34379
63.5,8.0402,-0.57365
63.5,8.54271,-0.79871
63.5,9.04523,-1.01663
63.5,9.54774,-1.22116
63.5,10.05025,-1.40179
63.5,10.55276,-1.5442
63.5,11.05528,-1.63119
63.5,11.55779,-1.64482
63.5,12.0603,-1.5697
63.5,12.56281,-1.3971
63.5,13.06533,-1.12864
63.5,13.56784,-0.77826
63.5,14.07035,-0.37101
63.5,14.57286,0.06121
63.5,15.07538,0.4855
63.5,15.57789,0.87338
63.5,16.0804,1.20439
63.5,16.58291,1.46724
63.5,17.08543,1.65908
63.5,17.58794,1.7835
63.5,18.09045,1.84796
63.5,18.59296,1.8611
63.5,19.09548,1.83029
63.5,19.59799,1.75944
63.5,20.1005,1.64737
63.5,20.60302,1.48689
63.5,21.10553,1.26539
63.5,21.60804,0.96801
63.5,22.11055,0.58505
63.5,22.61307,0.12264
63.5,23.11558,-0.38869
63.5,23.61809,-0.89739
63.5,24.1206,-1.34909
63.5,24.62312,-1.70821
63.5,25.12563,-1.96701
63.5,25.62814,-2.13859
63.5,26.13065,-2.24264
63.5,26.63317,-2.29351
63.5,27.13568,-2.29414
63.5,27.63819,-2.23619
63.5,28.1407,-2.10662
63.5,28.64322,-1.90021
63.5,29.14573,-1.63199
63.5,29.64824,-1.33779
63.5,30.15075,-1.05925
63.5,30.65327,-0.82705
63.5,31.15578,-0.65587
63.5,31.65829,-0.54891
63.5,32.1608,-0.50352
63.5,32.66332,-0.51365
63.5,33.16583,-0.56968
63.5,33.66834,-0.65681
63.5,34.17085,-0.75384
63.5,34.67337,-0.83357
63.5,35.17588,-0.86587
63.5,35.67839,-0.82248
63.5,36.1809,-0.68218
63.5,36.68342,-0.43508
63.5,37.18593,-0.08689
