x,t,u
0,0,1.48067
0.5,0,1.44477
1,0,1.07813
1.5,0,0.41089
2,0,-0.38867
2.5,0,-1.08072
3,0,-1.47542
3.5,0,-1.51684
4,0,-1.27469
4.5,0,-0.88108
5,0,-0.46995
5.5,0,-0.14799
6,0,0.0153
6.5,0,-0.00783
7,0,-0.19683
7.5,0,-0.48576
8,0,-0.78194
8.5,0,-0.99935
9,0,-1.08717
9.5,0,-1.04111
10,0,-0.8934
10.5,0,-0.69504
11,0,-0.49802
11.5,0,-0.3451
12,0,-0.26253
12.5,0,-0.25675
13,0,-0.31177
13.5,0,-0.39193
14,0,-0.44847
14.5,0,-0.43082
15,0,-0.29648
15.5,0,-0.01955
16,0,0.40282
16.5,0,0.93841
17,0,1.50224
17.5,0,1.93999
18,0,2.04502
18.5,0,1.64176
19,0,0.72571
19.5,0,-0.45447
20,0,-1.49628
20.5,0,-2.081
21,0,-2.13519
21.5,0,-1.80056
22,0,-1.2967
22.5,0,-0.8124
23,0,-0.46473
23.5,0,-0.30124
24,0,-0.31116
24.5,0,-0.43914
25,0,-0.60221
25.5,0,-0.71418
26,0,-0.70705
26.5,0,-0.54353
27,0,-0.21641
27.5,0,0.25396
28,0,0.81611
28.5,0,1.37164
29,0,1.7633
29.5,0,1.79632
30,0,1.32654
30.5,0,0.38705
31,0,-0.75627
31.5,0,-1.72389
32,0,-2.2417
32.5,0,-2.26827
33,0,-1.94493
33.5,0,-1.46591
34,0,-0.98111
34.5,0,-0.56613
35,0,-0.23139
35.5,0,0.05503
36,0,0.34593
36.5,0,0.69378
37,0,1.13031
37.5,0,1.64162
38,0,2.1438
38.5,0,2.47073
39,0,2.40996
39.5,0,1.81252
40,0,0.73928
40.5,0,-0.49533
41,0,-1.47914
41.5,0,-1.94862
42,0,-1.90028
42.5,0,-1.51045
43,0,-0.9878
43.5,0,-0.48105
44,0,-0.05725
44.5,0,0.28057
45,0,0.56871
45.5,0,0.85881
46,0,1.19742
46.5,0,1.60405
47,0,2.04941
47.5,0,2.43641
48,0,2.60398
48.5,0,2.37848
49,0,1.68283
49.5,0,0.63982
50,0,-0.44076
50.5,0,-1.22697
51,0,-1.54729
51.5,0,-1.43879
52,0,-1.05672
52.5,0,-0.55865
53,0,-0.03931
53.5,0,0.47559
54,0,1.00424
54.5,0,1.56878
55,0,2.15136
55.5,0,2.6524
56,0,2.87873
56.5,0,2.60256
57,0,1.71435
57.5,0,0.37973
58,0,-0.97749
58.5,0,-1.92219
59,0,-2.26522
59.5,0,-2.10176
60,0,-1.65998
60.5,0,-1.14331
61,0,-0.66154
61.5,0,-0.23885
62,0,0.14896
62.5,0,0.53314
63,0,0.91959
63.5,0,1.26632
