x,t,u
0.5,0.50251,1.47882
0.5,1.00503,1.56629
0.5,1.50754,1.70809
0.5,2.01005,1.89074
0.5,2.51256,2.08549
0.5,3.01508,2.25197
0.5,3.51759,2.34703
0.5,4.0201,2.33776
0.5,4.52261,2.21387
0.5,5.02513,1.99188
0.5,5.52764,1.70714
0.5,6.03015,1.39898
0.5,6.53266,1.09831
0.5,7.03518,0.8231
0.5,7.53769,0.57975
0.5,8.0402,0.36643
0.5,8.54271,0.17575
0.5,9.04523,-0.00309
0.5,9.54774,-0.18178
0.5,10.05025,-0.36968
0.5,10.55276,-0.57118
0.5,11.05528,-0.78419
0.5,11.55779,-1.00021
0.5,12.0603,-1.20532
0.5,12.56281,-1.3818
0.5,13.06533,-1.51064
0.5,13.56784,-1.57471
0.5,14.07035,-1.56226
0.5,14.57286,-1.4698
0.5,15.07538,-1.30339
0.5,15.57789,-1.07808
0.5,16.0804,-0.81559
0.5,16.58291,-0.54112
0.5,17.08543,-0.28003
0.5,17.58794,-0.05513
0.5,18.09045,0.11476
0.5,18.59296,0.2152
0.5,19.09548,0.23544
0.5,19.59799,0.16759
0.5,20.1005,0.00615
0.5,20.60302,-0.25081
0.5,21.10553,-0.59824
0.5,21.60804,-1.01866
0.5,22.11055,-1.47702
0.5,22.61307,-1.92137
0.5,23.11558,-2.2944
0.5,23.61809,-2.55314
0.5,24.1206,-2.68393
0.5,24.62312,-2.70149
0.5,25.12563,-2.63502
0.5,25.62814,-2.51342
0.5,26.13065,-2.35731
0.5,26.63317,-2.17785
0.5,27.13568,-1.97931
0.5,27.63819,-1.76334
0.5,28.1407,-1.53376
0.5,28.64322,-1.30047
0.5,29.14573,-1.07987
0.5,29.64824,-0.89029
0.5,30.15075,-0.74581
0.5,30.65327,-0.65337
0.5,31.15578,-0.61341
0.5,31.65829,-0.62114
0.5,32.1608,-0.667
0.5,32.66332,-0.73674
0.5,33.16583,-0.81172
0.5,33.66834,-0.86998
0.5,34.17085,-0.88818
0.5,34.67337,-0.84426
0.5,35.17588,-0.72054
0.5,35.67839,-0.5069
0.5,36.1809,-0.20462
0.5,36.68342,0.16819
0.5,37.18593,0.56956
1,0.50251,1.0578
1,1.00503,1.10493
1,1.50754,1.23355
1,2.01005,1.44503
1,2.51256,1.72225
1,3.01508,2.02697
1,3.51759,2.30337
1,4.0201,2.4906
1,4.52261,2.54
1,5.02513,2.44801
1,5.52764,2.22933
1,6.03015,1.93278
1,6.53266,1.60664
1,7.03518,1.28834
1,7.53769,1.00077
1,8.0402,0.75386
1,8.54271,0.5469
1,9.04523,0.37057
1,9.54774,0.20992
1,10.05025,0.04902
1,10.55276,-0.12447
1,11.05528,-0.31687
1,11.55779,-0.52804
1,12.0603,-0.75197
1,12.56281,-0.97777
1,13.06533,-1.19095
1,13.56784,-1.37526
1,14.07035,-1.515
1,14.57286,-1.59789
1,15.07538,-1.61743
1,15.57789,-1.57466
1,16.0804,-1.47835
1,16.58291,-1.34416
1,17.08543,-1.19264
1,17.58794,-1.04671
1,18.09045,-0.92912
1,18.59296,-0.86019
1,19.09548,-0.85607
1,19.59799,-0.92745
1,20.1005,-1.07822
1,20.60302,-1.30355
1,21.10553,-1.58742
1,21.60804,-1.90048
1,22.11055,-2.20108
1,22.61307,-2.44304
1,23.11558,-2.58985
1,23.61809,-2.62803
1,24.1206,-2.56991
1,24.62312,-2.44357
1,25.12563,-2.27856
1,25.62814,-2.09658
1,26.13065,-1.90939
1,26.63317,-1.72144
1,27.13568,-1.5337
1,27.63819,-1.3474
1,28.1407,-1.16694
1,28.64322,-1.00109
1,29.14573,-0.86146
