x,y,t,u,v
1.07071,-1.91837,0.1,1.19936,0.03509
1.14141,-1.91837,0.1,1.13378,0.02116
1.21212,-1.91837,0.1,1.15502,0.0338
1.28283,-1.91837,0.1,1.20655,0.0554
1.35354,-1.91837,0.1,1.18428,0.05351
1.42424,-1.91837,0.1,1.05072,0.01646
1.49495,-1.91837,0.1,1.13133,0.04531
1.56566,-1.91837,0.1,1.07573,0.03113
1.63636,-1.91837,0.1,1.07179,0.03229
1.70707,-1.91837,0.1,1.08883,0.03916
1.77778,-1.91837,0.1,1.07094,0.03435
1.84848,-1.91837,0.1,1.12413,0.05085
1.91919,-1.91837,0.1,1.08764,0.03864
1.9899,-1.91837,0.1,1.054,0.02646
2.06061,-1.91837,0.1,1.06412,0.02719
2.13131,-1.91837,0.1,1.05535,0.02118
2.20202,-1.91837,0.1,1.1043,0.03244
2.27273,-1.91837,0.1,1.02556,0.00331
2.34343,-1.91837,0.1,1.04719,0.0048
2.41414,-1.91837,0.1,0.99397,-0.01749
2.48485,-1.91837,0.1,0.91775,-0.04741
2.55556,-1.91837,0.1,1.06286,-0.00888
2.62626,-1.91837,0.1,1.07431,-0.0121
2.69697,-1.91837,0.1,1.00506,-0.04052
2.76768,-1.91837,0.1,1.14424,-0.00412
2.83838,-1.91837,0.1,0.9817,-0.06137
2.90909,-1.91837,0.1,1.05476,-0.04506
2.9798,-1.91837,0.1,1.05077,-0.0523
3.05051,-1.91837,0.1,1.13525,-0.03145
3.12121,-1.91837,0.1,1.14025,-0.03455
3.19192,-1.91837,0.1,1.08957,-0.05411
3.26263,-1.91837,0.1,1.10836,-0.05107
3.33333,-1.91837,0.1,1.06046,-0.06767
3.40404,-1.91837,0.1,1.02041,-0.08058
3.47475,-1.91837,0.1,1.10275,-0.05421
3.54545,-1.91837,0.1,1.13407,-0.04231
3.61616,-1.91837,0.1,1.19051,-0.02129
3.68687,-1.91837,0.1,1.19689,-0.01453
3.75758,-1.91837,0.1,1.1323,-0.0285
3.82828,-1.91837,0.1,1.14196,-0.01815
3.89899,-1.91837,0.1,1.11325,-0.01864
3.9697,-1.91837,0.1,1.10024,-0.01319
4.0404,-1.91837,0.1,1.08979,-0.00621
4.11111,-1.91837,0.1,1.25529,0.05619
4.18182,-1.91837,0.1,1.14469,0.03335
4.25253,-1.91837,0.1,1.14659,0.04579
4.32323,-1.91837,0.1,1.10748,0.04562
4.39394,-1.91837,0.1,1.19503,0.08484
4.46465,-1.91837,0.1,1.08288,0.06187
4.53535,-1.91837,0.1,1.14014,0.09129
4.60606,-1.91837,0.1,1.10293,0.09095
4.67677,-1.91837,0.1,1.15326,0.11734
4.74747,-1.91837,0.1,1.10492,0.11254
4.81818,-1.91837,0.1,1.06632,0.1101
4.88889,-1.91837,0.1,1.10915,0.13232
4.9596,-1.91837,0.1,1.12036,0.14401
5.0303,-1.91837,0.1,1.09449,0.14348
5.10101,-1.91837,0.1,1.09527,0.15049
5.17172,-1.91837,0.1,1.04324,0.14036
5.24242,-1.91837,0.1,1.04543,0.14637
5.31313,-1.91837,0.1,1.02148,0.14354
5.38384,-1.91837,0.1,1.02553,0.14872
5.45455,-1.91837,0.1,0.99517,0.14256
5.52525,-1.91837,0.1,0.9443,0.12932
5.59596,-1.91837,0.1,1.02007,0.15481
5.66667,-1.91837,0.1,0.98442,0.14504
5.73737,-1.91837,0.1,0.91978,0.12566
5.80808,-1.91837,0.1,1.00452,0.15212
5.87879,-1.91837,0.1,0.93389,0.12973
5.94949,-1.91837,0.1,0.96807,0.13936
6.0202,-1.91837,0.1,0.98977,0.14443
6.09091,-1.91837,0.1,0.9544,0.13125
6.16162,-1.91837,0.1,0.99157,0.14008
6.23232,-1.91837,0.1,0.87695,0.10116
6.30303,-1.91837,0.1,0.94283,0.11777
6.37374,-1.91837,0.1,0.8866,0.09586
6.44444,-1.91837,0.1,0.87118,0.08606
6.51515,-1.91837,0.1,0.87758,0.08244
6.58586,-1.91837,0.1,0.88322,0.078
6.65657,-1.91837,0.1,0.89376,0.07448
6.72727,-1.91837,0.1,0.83336,0.0483
6.79798,-1.91837,0.1,0.92109,0.06756
6.86869,-1.91837,0.1,0.89695,0.05147
6.93939,-1.91837,0.1,0.80295,0.01309
7.0101,-1.91837,0.1,0.93523,0.04453
7.08081,-1.91837,0.1,0.95051,0.03914
7.15152,-1.91837,0.1,0.91585,0.01777
7.22222,-1.91837,0.1,0.85278,-0.01268
7.29293,-1.91837,0.1,0.81127,-0.03672
7.36364,-1.91837,0.1,0.90576,-0.01867
7.43434,-1.91837,0.1,0.83992,-0.05065
7.50505,-1.91837,0.1,0.9131,-0.03949
7.57576,-1.91837,0.1,0.86837,-0.06511
7.64646,-1.91837,0.1,0.9046,-0.06577
7.71717,-1.91837,0.1,0.87947,-0.08581
7.78788,-1.91837,0.1,0.89909,-0.09221
7.85859,-1.91837,0.1,0.87293,-0.11313
7.92929,-1.91837,0.1,0.95897,-0.09925
1.07071,-1.83673,0.1,1.13234,0.01726
1.14141,-1.83673,0.1,1.13978,0.02679
1.21212,-1.83673,0.1,1.20089,0.05255
1.28283,-1.83673,0.1,1.04983,0.01186
1.35354,-1.83673,0.1,1.04698,0.01669
1.42424,-1.83673,0.1,1.14099,0.05091
1.49495,-1.83673,0.1,1.03785,0.02316
1.56566,-1.83673,0.1,1.17087,0.06801
1.63636,-1.83673,0.1,1.05791,0.03557
1.70707,-1.83673,0.1,1.03589,0.03047
1.77778,-1.83673,0.1,1.14902,0.06646
1.84848,-1.83673,0.1,1.12257,0.05808
1.91919,-1.83673,0.1,1.13378,0.06055
1.9899,-1.83673,0.1,1.08483,0.04334
2.06061,-1.83673,0.1,1.00029,0.01411
2.13131,-1.83673,0.1,1.12028,0.04762
2.20202,-1.83673,0.1,1.0186,0.0114
2.27273,-1.83673,0.1,1.06383,0.02001
2.34343,-1.83673,0.1,1.06831,0.01522
2.41414,-1.83673,0.1,1.01773,-0.00729
2.48485,-1.83673,0.1,1.05225,-0.00379
2.55556,-1.83673,0.1,1.06711,-0.00692
2.62626,-1.83673,0.1,1.0447,-0.02187
2.69697,-1.83673,0.1,0.9816,-0.04962
2.76768,-1.83673,0.1,1.0487,-0.03696
2.83838,-1.83673,0.1,1.10028,-0.02895
2.90909,-1.83673,0.1,1.01591,-0.0629
2.9798,-1.83673,0.1,1.0478,-0.06025
3.05051,-1.83673,0.1,1.04324,-0.06827
3.12121,-1.83673,0.1,1.15494,-0.03935
