x,y,t,u,v
1,-2,0.1,1.11756,0.00109
1.07071,-2,0.1,1.11424,0.00609
1.14141,-2,0.1,1.1105,0.01066
1.21212,-2,0.1,1.10636,0.01476
1.28283,-2,0.1,1.10184,0.01832
1.35354,-2,0.1,1.09704,0.02134
1.42424,-2,0.1,1.09201,0.02375
1.49495,-2,0.1,1.08684,0.02554
1.56566,-2,0.1,1.08159,0.02669
1.63636,-2,0.1,1.07628,0.02713
1.70707,-2,0.1,1.07102,0.02694
1.77778,-2,0.1,1.06596,0.02619
1.84848,-2,0.1,1.06109,0.02472
1.91919,-2,0.1,1.05649,0.0225
1.9899,-2,0.1,1.05227,0.01974
2.06061,-2,0.1,1.04849,0.01647
2.13131,-2,0.1,1.04532,0.01279
2.20202,-2,0.1,1.04271,0.00861
2.27273,-2,0.1,1.0407,0.00405
2.34343,-2,0.1,1.03941,-0.00082
2.41414,-2,0.1,1.03886,-0.00591
2.48485,-2,0.1,1.03906,-0.01109
2.55556,-2,0.1,1.04005,-0.01632
2.62626,-2,0.1,1.04189,-0.02144
2.69697,-2,0.1,1.04452,-0.02642
2.76768,-2,0.1,1.04796,-0.03111
2.83838,-2,0.1,1.05223,-0.03534
2.90909,-2,0.1,1.05721,-0.03913
2.9798,-2,0.1,1.06285,-0.04228
3.05051,-2,0.1,1.06913,-0.04467
3.12121,-2,0.1,1.07592,-0.04633
3.19192,-2,0.1,1.08313,-0.04705
3.26263,-2,0.1,1.09065,-0.04682
3.33333,-2,0.1,1.09835,-0.04559
3.40404,-2,0.1,1.10607,-0.0433
3.47475,-2,0.1,1.11369,-0.03991
3.54545,-2,0.1,1.12108,-0.03549
3.61616,-2,0.1,1.12805,-0.03005
3.68687,-2,0.1,1.13449,-0.02365
3.75758,-2,0.1,1.14022,-0.01634
3.82828,-2,0.1,1.14516,-0.00825
3.89899,-2,0.1,1.14923,0.00055
3.9697,-2,0.1,1.15225,0.00981
4.0404,-2,0.1,1.15429,0.01953
4.11111,-2,0.1,1.15527,0.02956
4.18182,-2,0.1,1.15515,0.03969
4.25253,-2,0.1,1.15395,0.0498
4.32323,-2,0.1,1.1517,0.05973
4.39394,-2,0.1,1.14846,0.06942
4.46465,-2,0.1,1.14428,0.07874
4.53535,-2,0.1,1.13924,0.08758
4.60606,-2,0.1,1.13342,0.09589
4.67677,-2,0.1,1.1269,0.10359
4.74747,-2,0.1,1.1198,0.11063
4.81818,-2,0.1,1.11213,0.11701
4.88889,-2,0.1,1.10403,0.12266
4.9596,-2,0.1,1.09557,0.12761
5.0303,-2,0.1,1.08686,0.13183
5.10101,-2,0.1,1.0779,0.13535
5.17172,-2,0.1,1.0688,0.13817
5.24242,-2,0.1,1.0596,0.14032
5.31313,-2,0.1,1.05035,0.1418
5.38384,-2,0.1,1.04108,0.14264
5.45455,-2,0.1,1.03185,0.14285
5.52525,-2,0.1,1.02268,0.14248
5.59596,-2,0.1,1.01359,0.14152
5.66667,-2,0.1,1.0046,0.14
5.73737,-2,0.1,0.9958,0.13795
5.80808,-2,0.1,0.98708,0.13544
5.87879,-2,0.1,0.97854,0.13232
5.94949,-2,0.1,0.97026,0.12874
6.0202,-2,0.1,0.96216,0.1247
6.09091,-2,0.1,0.95424,0.12016
6.16162,-2,0.1,0.94657,0.11516
6.23232,-2,0.1,0.93917,0.10969
6.30303,-2,0.1,0.93203,0.10377
6.37374,-2,0.1,0.92519,0.09739
6.44444,-2,0.1,0.91867,0.09056
6.51515,-2,0.1,0.91247,0.08327
6.58586,-2,0.1,0.90665,0.07554
6.65657,-2,0.1,0.90122,0.06736
6.72727,-2,0.1,0.8962,0.05875
6.79798,-2,0.1,0.89164,0.04972
6.86869,-2,0.1,0.88758,0.04028
6.93939,-2,0.1,0.88405,0.03045
7.0101,-2,0.1,0.88106,0.02028
7.08081,-2,0.1,0.87858,0.00982
7.15152,-2,0.1,0.87666,-0.00089
7.22222,-2,0.1,0.87537,-0.01183
7.29293,-2,0.1,0.87449,-0.02277
7.36364,-2,0.1,0.87421,-0.03379
7.43434,-2,0.1,0.87449,-0.04478
7.50505,-2,0.1,0.87531,-0.05575
7.57576,-2,0.1,0.87657,-0.06644
7.64646,-2,0.1,0.87842,-0.0769
7.71717,-2,0.1,0.88094,-0.08725
7.78788,-2,0.1,0.88428,-0.09738
7.85859,-2,0.1,0.88856,-0.10729
7.92929,-2,0.1,0.8938,-0.11695
8,-2,0.1,0.90007,-0.12627
1,-1.91837,0.1,1.1239,0.00489
8,-1.91837,0.1,0.88616,-0.13471
1,-1.83673,0.1,1.13097,0.00925
8,-1.83673,0.1,0.87499,-0.14477
1,-1.7551,0.1,1.13887,0.01422
8,-1.7551,0.1,0.86691,-0.15669
1,-1.67347,0.1,1.1477,0.01976
8,-1.67347,0.1,0.86156,-0.17033
1,-1.59184,0.1,1.15767,0.02613
8,-1.59184,0.1,0.85817,-0.18539
1,-1.5102,0.1,1.16888,0.03334
8,-1.5102,0.1,0.8558,-0.20138
1,-1.42857,0.1,1.18148,0.04135
8,-1.42857,0.1,0.85348,-0.21783
1,-1.34694,0.1,1.19572,0.05028
8,-1.34694,0.1,0.85068,-0.23432
1,-1.26531,0.1,1.21183,0.06013
8,-1.26531,0.1,0.84715,-0.25051
1,-1.18367,0.1,1.22974,0.07091
8,-1.18367,0.1,0.84313,-0.26661
1,-1.10204,0.1,1.24882,0.08269
8,-1.10204,0.1,0.83888,-0.28259
1,-1.02041,0.1,1.2654,0.09554
8,-1.02041,0.1,0.83439,-0.29828
1,-0.93878,0.1,1.26897,0.1092
8,-0.93878,0.1,0.82988,-0.31336
1,-0.85714,0.1,1.23713,0.12197
8,-0.85714,0.1,0.82551,-0.32822
1,-0.77551,0.1,1.14151,0.12893
8,-0.77551,0.1,0.82137,-0.34261
1,-0.69388,0.1,0.97116,0.12229
8,-0.69388,0.1,0.81778,-0.35647
1,-0.61224,0.1,0.75473,0.09736
8,-0.61224,0.1,0.81488,-0.36974
1,-0.53061,0.1,0.54223,0.05864
8,-0.53061,0.1,0.81284,-0.38236
1,-0.44898,0.1,0.36274,0.01722
8,-0.44898,0.1,0.81186,-0.39423
1,-0.36735,0.1,0.21558,-0.0174
8,-0.36735,0.1,0.81208,-0.40527
1,-0.28571,0.1,0.0918,-0.04073
8,-0.28571,0.1,0.81367,-0.41536
1,-0.20408,0.1,-0.01268,-0.05143
8,-0.20408,0.1,0.81675,-0.42433
1,-0.12245,0.1,-0.09608,-0.04975
