x,y,t,u,v
1.07071,-1.91837,0.1,1.12011,0.01046
1.14141,-1.91837,0.1,1.11581,0.01557
1.21212,-1.91837,0.1,1.11105,0.02013
1.28283,-1.91837,0.1,1.10587,0.0241
1.35354,-1.91837,0.1,1.10038,0.02744
1.42424,-1.91837,0.1,1.09463,0.0301
1.49495,-1.91837,0.1,1.08865,0.03204
1.56566,-1.91837,0.1,1.08253,0.03324
1.63636,-1.91837,0.1,1.07642,0.03373
1.70707,-1.91837,0.1,1.07038,0.03342
1.77778,-1.91837,0.1,1.06447,0.03234
1.84848,-1.91837,0.1,1.05879,0.03054
1.91919,-1.91837,0.1,1.05345,0.02801
1.9899,-1.91837,0.1,1.04853,0.02477
2.06061,-1.91837,0.1,1.04417,0.02099
2.13131,-1.91837,0.1,1.04036,0.01652
2.20202,-1.91837,0.1,1.03718,0.01158
2.27273,-1.91837,0.1,1.03478,0.00617
2.34343,-1.91837,0.1,1.03312,0.00043
2.41414,-1.91837,0.1,1.03234,-0.00556
2.48485,-1.91837,0.1,1.03245,-0.01176
2.55556,-1.91837,0.1,1.03349,-0.018
2.62626,-1.91837,0.1,1.03547,-0.02417
2.69697,-1.91837,0.1,1.0384,-0.03015
2.76768,-1.91837,0.1,1.04227,-0.03581
2.83838,-1.91837,0.1,1.04704,-0.04106
2.90909,-1.91837,0.1,1.05271,-0.0457
2.9798,-1.91837,0.1,1.05918,-0.04968
3.05051,-1.91837,0.1,1.06639,-0.05285
3.12121,-1.91837,0.1,1.07423,-0.05507
3.19192,-1.91837,0.1,1.0826,-0.05628
3.26263,-1.91837,0.1,1.09137,-0.05636
3.33333,-1.91837,0.1,1.10034,-0.05528
3.40404,-1.91837,0.1,1.1094,-0.05292
3.47475,-1.91837,0.1,1.11838,-0.04935
3.54545,-1.91837,0.1,1.12704,-0.04449
3.61616,-1.91837,0.1,1.13524,-0.03847
3.68687,-1.91837,0.1,1.14288,-0.03132
3.75758,-1.91837,0.1,1.1497,-0.02309
3.82828,-1.91837,0.1,1.15554,-0.01393
3.89899,-1.91837,0.1,1.16035,-0.00399
3.9697,-1.91837,0.1,1.16404,0.00664
4.0404,-1.91837,0.1,1.16644,0.01762
4.11111,-1.91837,0.1,1.16765,0.02895
4.18182,-1.91837,0.1,1.16759,0.04046
4.25253,-1.91837,0.1,1.16627,0.0519
4.32323,-1.91837,0.1,1.16376,0.06312
4.39394,-1.91837,0.1,1.16011,0.07399
4.46465,-1.91837,0.1,1.15539,0.0844
4.53535,-1.91837,0.1,1.1497,0.09427
4.60606,-1.91837,0.1,1.14316,0.10345
4.67677,-1.91837,0.1,1.13588,0.11193
4.74747,-1.91837,0.1,1.12787,0.11967
4.81818,-1.91837,0.1,1.11936,0.12658
4.88889,-1.91837,0.1,1.11041,0.13271
4.9596,-1.91837,0.1,1.10112,0.13803
5.0303,-1.91837,0.1,1.0915,0.14255
5.10101,-1.91837,0.1,1.08168,0.14626
5.17172,-1.91837,0.1,1.07174,0.14922
5.24242,-1.91837,0.1,1.06173,0.15143
5.31313,-1.91837,0.1,1.05169,0.15293
5.38384,-1.91837,0.1,1.04168,0.15374
5.45455,-1.91837,0.1,1.0317,0.15392
5.52525,-1.91837,0.1,1.02185,0.15342
5.59596,-1.91837,0.1,1.0121,0.15233
5.66667,-1.91837,0.1,1.00247,0.15065
5.73737,-1.91837,0.1,0.99302,0.14843
5.80808,-1.91837,0.1,0.98373,0.14566
5.87879,-1.91837,0.1,0.97465,0.1424
5.94949,-1.91837,0.1,0.96574,0.13864
6.0202,-1.91837,0.1,0.95701,0.13425
6.09091,-1.91837,0.1,0.9486,0.12945
6.16162,-1.91837,0.1,0.94038,0.12417
6.23232,-1.91837,0.1,0.93243,0.1184
6.30303,-1.91837,0.1,0.92475,0.11215
6.37374,-1.91837,0.1,0.91737,0.10542
6.44444,-1.91837,0.1,0.9103,0.09822
6.51515,-1.91837,0.1,0.90359,0.09053
6.58586,-1.91837,0.1,0.89722,0.08235
6.65657,-1.91837,0.1,0.89124,0.0737
6.72727,-1.91837,0.1,0.8857,0.06457
6.79798,-1.91837,0.1,0.88062,0.05499
6.86869,-1.91837,0.1,0.87603,0.04497
6.93939,-1.91837,0.1,0.87196,0.03455
7.0101,-1.91837,0.1,0.86837,0.02375
7.08081,-1.91837,0.1,0.86534,0.01267
7.15152,-1.91837,0.1,0.86289,0.00131
7.22222,-1.91837,0.1,0.86087,-0.01017
7.29293,-1.91837,0.1,0.85938,-0.02176
7.36364,-1.91837,0.1,0.85839,-0.03339
7.43434,-1.91837,0.1,0.85803,-0.04502
7.50505,-1.91837,0.1,0.85818,-0.05656
7.57576,-1.91837,0.1,0.85901,-0.06801
7.64646,-1.91837,0.1,0.86072,-0.0794
7.71717,-1.91837,0.1,0.86346,-0.09078
7.78788,-1.91837,0.1,0.86734,-0.10208
7.85859,-1.91837,0.1,0.87246,-0.11328
7.92929,-1.91837,0.1,0.87874,-0.12418
1.07071,-1.83673,0.1,1.12664,0.01549
1.14141,-1.83673,0.1,1.12172,0.02117
1.21212,-1.83673,0.1,1.11629,0.02626
1.28283,-1.83673,0.1,1.11038,0.03068
1.35354,-1.83673,0.1,1.10405,0.03443
1.42424,-1.83673,0.1,1.09744,0.03737
1.49495,-1.83673,0.1,1.09056,0.03954
1.56566,-1.83673,0.1,1.08355,0.04087
1.63636,-1.83673,0.1,1.07649,0.04134
1.70707,-1.83673,0.1,1.06947,0.04091
1.77778,-1.83673,0.1,1.06263,0.03961
1.84848,-1.83673,0.1,1.05605,0.0374
1.91919,-1.83673,0.1,1.04988,0.03447
1.9899,-1.83673,0.1,1.04412,0.03068
2.06061,-1.83673,0.1,1.03898,0.02614
2.13131,-1.83673,0.1,1.03447,0.02095
2.20202,-1.83673,0.1,1.03064,0.01514
2.27273,-1.83673,0.1,1.02778,0.0088
2.34343,-1.83673,0.1,1.02575,0.00199
2.41414,-1.83673,0.1,1.02469,-0.00512
2.48485,-1.83673,0.1,1.02467,-0.01237
2.55556,-1.83673,0.1,1.02567,-0.01979
2.62626,-1.83673,0.1,1.02779,-0.02712
