x,y,t,u,v
1,-2,0,1.11419,-0.0041
1.07071,-2,0,1.11103,0.00039
1.14141,-2,0,1.10748,0.00443
1.21212,-2,0,1.1036,0.00798
1.28283,-2,0,1.09941,0.01098
1.35354,-2,0,1.09501,0.01344
1.42424,-2,0,1.09046,0.01528
1.49495,-2,0,1.08585,0.01653
1.56566,-2,0,1.08124,0.01716
1.63636,-2,0,1.07666,0.01711
1.70707,-2,0,1.07221,0.01648
1.77778,-2,0,1.06804,0.01534
1.84848,-2,0,1.06414,0.01354
1.91919,-2,0,1.06063,0.01109
1.9899,-2,0,1.05755,0.0082
2.06061,-2,0,1.05499,0.00489
2.13131,-2,0,1.05305,0.00131
2.20202,-2,0,1.05173,-0.00264
2.27273,-2,0,1.05108,-0.00683
2.34343,-2,0,1.05119,-0.01117
2.41414,-2,0,1.05201,-0.01557
2.48485,-2,0,1.05356,-0.01988
2.55556,-2,0,1.05586,-0.02407
2.62626,-2,0,1.05894,-0.02795
2.69697,-2,0,1.06275,-0.0315
2.76768,-2,0,1.06724,-0.03459
2.83838,-2,0,1.07239,-0.03702
2.90909,-2,0,1.07808,-0.03887
2.9798,-2,0,1.08422,-0.03993
3.05051,-2,0,1.09077,-0.04011
3.12121,-2,0,1.09758,-0.03946
3.19192,-2,0,1.10451,-0.03782
3.26263,-2,0,1.11147,-0.03521
3.33333,-2,0,1.1183,-0.03163
3.40404,-2,0,1.12484,-0.02708
3.47475,-2,0,1.13098,-0.02154
3.54545,-2,0,1.1366,-0.01514
3.61616,-2,0,1.14156,-0.00794
3.68687,-2,0,1.14577,-0.00003
3.75758,-2,0,1.14909,0.0085
3.82828,-2,0,1.15148,0.0175
3.89899,-2,0,1.15291,0.02689
3.9697,-2,0,1.15329,0.03641
4.0404,-2,0,1.15269,0.04608
4.11111,-2,0,1.15107,0.05574
4.18182,-2,0,1.14845,0.06522
4.25253,-2,0,1.14492,0.07442
4.32323,-2,0,1.1405,0.08323
4.39394,-2,0,1.13528,0.09159
4.46465,-2,0,1.12932,0.09944
4.53535,-2,0,1.12271,0.10668
4.60606,-2,0,1.11552,0.1133
4.67677,-2,0,1.10784,0.11926
4.74747,-2,0,1.09978,0.12453
4.81818,-2,0,1.09133,0.12912
4.88889,-2,0,1.08263,0.13301
4.9596,-2,0,1.07371,0.1362
5.0303,-2,0,1.06468,0.13873
5.10101,-2,0,1.05555,0.14059
5.17172,-2,0,1.04637,0.1418
5.24242,-2,0,1.03718,0.14239
5.31313,-2,0,1.02801,0.14236
5.38384,-2,0,1.01892,0.14174
5.45455,-2,0,1.00992,0.14055
5.52525,-2,0,1.00103,0.13883
5.59596,-2,0,0.99228,0.13655
5.66667,-2,0,0.98367,0.13376
5.73737,-2,0,0.97529,0.13047
5.80808,-2,0,0.96702,0.12672
5.87879,-2,0,0.95899,0.12239
5.94949,-2,0,0.95124,0.11762
6.0202,-2,0,0.94373,0.11242
6.09091,-2,0,0.93643,0.10673
6.16162,-2,0,0.92942,0.10057
6.23232,-2,0,0.92274,0.09397
6.30303,-2,0,0.91637,0.08691
6.37374,-2,0,0.91036,0.07938
6.44444,-2,0,0.90475,0.07142
6.51515,-2,0,0.89953,0.063
6.58586,-2,0,0.89478,0.05416
6.65657,-2,0,0.8905,0.0449
6.72727,-2,0,0.88672,0.03523
6.79798,-2,0,0.88349,0.0252
6.86869,-2,0,0.88082,0.01484
6.93939,-2,0,0.87873,0.00418
7.0101,-2,0,0.87722,-0.0067
7.08081,-2,0,0.87625,-0.01772
7.15152,-2,0,0.87582,-0.02881
7.22222,-2,0,0.87596,-0.03991
7.29293,-2,0,0.87658,-0.05091
7.36364,-2,0,0.87774,-0.06176
7.43434,-2,0,0.87944,-0.0724
7.50505,-2,0,0.88178,-0.08291
7.57576,-2,0,0.88468,-0.09308
7.64646,-2,0,0.88831,-0.10293
7.71717,-2,0,0.8928,-0.11261
7.78788,-2,0,0.89829,-0.12196
7.85859,-2,0,0.90478,-0.13092
7.92929,-2,0,0.9122,-0.13941
8,-2,0,0.92055,-0.14731
1,-1.91837,0,1.11993,-0.00041
1.07071,-1.91837,0,1.11625,0.00458
1.14141,-1.91837,0,1.11212,0.00909
1.21212,-1.91837,0,1.1076,0.01302
1.28283,-1.91837,0,1.10274,0.01635
1.35354,-1.91837,0,1.09765,0.01903
1.42424,-1.91837,0,1.09238,0.02104
1.49495,-1.91837,0,1.08697,0.02233
1.56566,-1.91837,0,1.08154,0.0229
1.63636,-1.91837,0,1.07619,0.02279
1.70707,-1.91837,0,1.07103,0.02193
1.77778,-1.91837,0,1.06609,0.02036
1.84848,-1.91837,0,1.06149,0.01814
1.91919,-1.91837,0,1.05732,0.01527
1.9899,-1.91837,0,1.05366,0.01179
2.06061,-1.91837,0,1.05063,0.00791
2.13131,-1.91837,0,1.04824,0.00345
2.20202,-1.91837,0,1.04655,-0.00132
2.27273,-1.91837,0,1.04567,-0.00641
2.34343,-1.91837,0,1.04559,-0.01164
2.41414,-1.91837,0,1.04639,-0.01694
2.48485,-1.91837,0,1.04807,-0.02224
2.55556,-1.91837,0,1.05067,-0.02737
2.62626,-1.91837,0,1.05413,-0.03221
2.69697,-1.91837,0,1.05845,-0.03664
2.76768,-1.91837,0,1.06359,-0.04053
2.83838,-1.91837,0,1.06948,-0.0438
2.90909,-1.91837,0,1.07606,-0.04626
2.9798,-1.91837,0,1.08321,-0.04787
3.05051,-1.91837,0,1.09084,-0.04852
3.12121,-1.91837,0,1.09879,-0.0481
3.19192,-1.91837,0,1.10695,-0.04658
3.26263,-1.91837,0,1.11514,-0.0439
3.33333,-1.91837,0,1.12319,-0.04009
3.40404,-1.91837,0,1.13094,-0.03508
3.47475,-1.91837,0,1.13826,-0.02899
3.54545,-1.91837,0,1.14492,-0.02182
3.61616,-1.91837,0,1.15081,-0.01374
3.68687,-1.91837,0,1.15587,-0.00481
3.75758,-1.91837,0,1.1599,0.00484
3.82828,-1.91837,0,1.1628,0.01505
3.89899,-1.91837,0,1.16457,0.02564
3.9697,-1.91837,0,1.16517,0.03654
4.0404,-1.91837,0,1.16456,0.0474
4.11111,-1.91837,0,1.1628,0.05826
4.18182,-1.91837,0,1.15991,0.06897
4.25253,-1.91837,0,1.15595,0.07929
4.32323,-1.91837,0,1.151,0.08914
4.39394,-1.91837,0,1.14516,0.09844
4.46465,-1.91837,0,1.1385,0.10711
4.53535,-1.91837,0,1.13112,0.11511
4.60606,-1.91837,0,1.12315,0.12236
4.67677,-1.91837,0,1.11466,0.12885
4.74747,-1.91837,0,1.10568,0.13457
4.81818,-1.91837,0,1.09641,0.13949
4.88889,-1.91837,0,1.08687,0.14365
4.9596,-1.91837,0,1.07716,0.14705
5.0303,-1.91837,0,1.06729,0.1497
5.10101,-1.91837,0,1.05736,0.15162
5.17172,-1.91837,0,1.04741,0.15284
5.24242,-1.91837,0,1.03748,0.1534
5.31313,-1.91837,0,1.02761,0.1533
5.38384,-1.91837,0,1.01783,0.15258
5.45455,-1.91837,0,1.00815,0.15129
5.52525,-1.91837,0,0.99863,0.14938
5.59596,-1.91837,0,0.98926,0.14692
5.66667,-1.91837,0,0.98006,0.14393
5.73737,-1.91837,0,0.97106,0.14041
5.80808,-1.91837,0,0.96225,0.13638
5.87879,-1.91837,0,0.95369,0.13187
5.94949,-1.91837,0,0.94533,0.12688
6.0202,-1.91837,0,0.9372,0.12128
6.09091,-1.91837,0,0.92943,0.11528
6.16162,-1.91837,0,0.92188,0.1088
6.23232,-1.91837,0,0.91463,0.10182
6.30303,-1.91837,0,0.90773,0.09436
6.37374,-1.91837,0,0.90118,0.0864
6.44444,-1.91837,0,0.89502,0.07797
