t,y,x,u,u_pred,psi_x_pred,psi_xx_pred,psi_y_pred,psi_yy_pred,w_pred,u_in_ns_pred,v_pred,w_t_pred,w_x_pred,w_xx_pred,w_y_pred,w_yy_pred,v,u_true,v_true
1,-1.91837,1.07071,0.80966,-1.4972167,-0.01128506,-0.111261666,1.2109,0.61597455,-0.5047129,1.2109,0.017452473,-0.004551228,0.045568738,0.22525215,0.50885105,2.6212397,-0.08511,1.14609,0.01946
1,-1.91837,1.14141,1.16403,-1.4987218,-0.019043848,-0.10809252,1.2079574,0.609031,-0.50093853,1.2079574,0.025084574,-0.021250457,0.061042674,0.21214582,0.49767286,2.563623,0.03369,1.14275,0.02707
1,-1.91837,1.21212,1.29926,-1.5007559,-0.026551953,-0.104138024,1.2042158,0.60024196,-0.49610394,1.2042158,0.032359548,-0.037076443,0.07552436,0.19718169,0.4881302,2.5001242,0.08428,1.13873,0.03438
1,-1.91837,1.28283,1.03853,-1.5032895,-0.033752587,-0.099397615,1.199721,0.58968186,-0.49028426,1.199721,0.03923022,-0.05190634,0.088893235,0.18074028,0.4803278,2.431675,0.01165,1.13408,0.04135
1,-1.91837,1.35354,1.46192,-1.5062927,-0.040590294,-0.09387388,1.1945206,0.57743514,-0.48356125,1.1945206,0.04565133,-0.06564974,0.10105978,0.16324134,0.47431937,2.3591318,0.15142,1.12882,0.04789
1,-1.91837,1.42424,0.6286,-1.5097327,-0.04700901,-0.08757514,1.188667,0.5635985,-0.47602338,1.188667,0.05157752,-0.07824409,0.11196304,0.14513654,0.47011173,2.2832887,-0.09971,1.123,0.05396
1,-1.91837,1.49495,0.87909,-1.5135736,-0.05295609,-0.08051267,1.1822131,0.54827154,-0.46775886,1.1822131,0.056967836,-0.08966333,0.12157985,0.12688337,0.46766332,2.2048154,-0.01434,1.1166,0.05949
1,-1.91837,1.56566,0.87098,-1.5177754,-0.05837768,-0.07270808,1.1752157,0.5315677,-0.45885962,1.1752157,0.061780553,-0.099905066,0.12991439,0.10894559,0.46689212,2.124328,-0.00977,1.10969,0.06442
1,-1.91837,1.63636,0.88783,-1.5222949,-0.06322115,-0.064191364,1.167736,0.51360834,-0.44941697,1.167736,0.065976664,-0.108995885,0.13700384,0.09176633,0.4676769,2.042349,0.00205,1.10238,0.06873
1,-1.91837,1.70707,0.86159,-1.5270896,-0.06743901,-0.054998923,1.1598334,0.4945128,-0.43951386,1.1598334,0.06952159,-0.11699128,0.14291824,0.07574243,0.4698603,1.9592727,-0.00014,1.09467,0.0723
1,-1.91837,1.77778,1.29587,-1.5321109,-0.070984334,-0.04518176,1.1515726,0.474413,-0.42923126,1.1515726,0.07238176,-0.123964705,0.14775088,0.061221734,0.4732557,1.8754405,0.14016,1.08664,0.07512
1,-1.91837,1.84848,1.14361,-1.5373083,-0.07381498,-0.034803294,1.1430206,0.45344633,-0.41864303,1.1430206,0.07452736,-0.13000815,0.15161759,0.04847877,0.47765294,1.7911173,0.09747,1.07837,0.07719
1,-1.91837,1.91919,0.86579,-1.5426321,-0.07589444,-0.023935178,1.1342435,0.43174562,-0.40781045,1.1342435,0.07593286,-0.13522871,0.15465239,0.037695605,0.48282343,1.7064586,0.01498,1.06994,0.07843
1,-1.91837,1.9899,1.14468,-1.5480291,-0.07719046,-0.012666505,1.1253127,0.40945488,-0.3967884,1.1253127,0.07657537,-0.13973866,0.15699698,0.028964007,0.48852524,1.621596,0.1047,1.0614,0.07881
1,-1.91837,2.06061,1.09627,-1.5534436,-0.07767848,-0.001098253,1.1163001,0.38671893,-0.38562068,1.1163001,0.07643702,-0.1436532,0.15879667,0.022273563,0.4945102,1.5366019,0.09186,1.05297,0.0784
1,-1.91837,2.13131,0.86873,-1.5588193,-0.077341534,0.01065474,1.1072824,0.3636879,-0.37434265,1.1072824,0.07550461,-0.14708363,0.16019236,0.017514706,0.50052965,1.4515274,0.02243,1.04453,0.07708
1,-1.91837,2.20202,1.36633,-1.5641016,-0.07617025,0.022470871,1.0983322,0.34050348,-0.36297435,1.0983322,0.073769264,-0.15013388,0.16131425,0.014483389,0.5063429,1.3663664,0.17757,1.03625,0.07497
1,-1.91837,2.27273,1.01153,-1.5692332,-0.07416523,0.03421367,1.0895294,0.31731957,-0.35153323,1.0895294,0.07122865,-0.15289235,0.1622747,0.012896842,0.5117191,1.2811489,0.0668,1.02823,0.07199
1,-1.91837,2.34343,1.24029,-1.5741551,-0.07133735,0.045738313,1.0809551,0.2942904,-0.3400287,1.0809551,0.0678866,-0.15543042,0.16316381,0.012408611,0.51644635,1.1959171,0.13653,1.02054,0.06823
1,-1.91837,2.41414,0.94132,-1.5788136,-0.067705974,0.056899395,1.0726877,0.27156094,-0.32846034,1.0726877,0.063752756,-0.15779962,0.16404612,0.012631665,0.5203397,1.1107105,0.04133,1.01328,0.06369
1,-1.91837,2.48485,0.93689,-1.5831528,-0.0633029,0.06754287,1.0648111,0.24928574,-0.3168286,1.0648111,0.05884551,-0.16002752,0.16495742,0.013161397,0.52324384,1.0256517,0.03674,1.00648,0.05837
1,-1.91837,2.55556,0.95677,-1.5871183,-0.058169805,0.07751613,1.0574082,0.22761497,-0.3051311,1.0574082,0.053191725,-0.16211915,0.16590536,0.013601787,0.5250402,0.9409153,0.03883,1.00026,0.05235
1,-1.91837,2.62626,1.02008,-1.5906584,-0.052360546,0.0866677,1.0505618,0.20670004,-0.29336774,1.0505618,0.046827234,-0.16405654,0.16687016,0.013591507,0.52565336,0.8567701,0.05357,0.99466,0.04567
1,-1.91837,2.69697,0.92217,-1.5937245,-0.045936782,0.09485481,1.0443525,0.18667993,-0.28153473,1.0443525,0.039795864,-0.16580291,0.16780944,0.012825903,0.52505594,0.7735381,0.01739,0.98978,0.0384
1,-1.91837,2.76768,1.01178,-1.5962716,-0.0389724,0.10193984,1.0388615,0.16769804,-0.26963788,1.0388615,0.03215442,-0.16730368,0.1686608,0.01107893,0.52327174,0.6916795,0.03871,0.98567,0.0306
1,-1.91837,2.83838,0.94248,-1.5982589,-0.03155043,0.107796475,1.034169,0.14989188,-0.25768834,1.034169,0.02397065,-0.16849269,0.16934982,0.008218384,0.5203796,0.61175895,0.00992,0.98236,0.02232
1,-1.91837,2.90909,1.11763,-1.59965,-0.023760522,0.11231388,1.0303462,0.13338186,-0.24569574,1.0303462,0.015320133,-0.16929732,0.16979589,0.004214073,0.5165151,0.5344121,0.05643,0.97997,0.01364
1,-1.91837,2.9798,0.83683,-1.6004162,-0.015700871,0.115395576,1.027465,0.118287735,-0.23368332,1.027465,0.00629399,-0.1696451,0.16992062,-0.000854214,0.511869,0.46040487,-0.0394,0.9785,0.00464
1,-1.91837,3.05051,0.68312,-1.6005342,-0.007476985,0.11696243,1.0255882,0.1047127,-0.22167513,1.0255882,-0.00300678,-0.16946864,0.16965416,-0.006805364,0.5066883,0.39057353,-0.09626,0.97801,-0.0046
1,-1.91837,3.12121,1.18261,-1.5999874,0.000801501,0.1169558,1.0247717,0.09274693,-0.20970273,1.0247717,-0.012468807,-0.1687137,0.16894387,-0.013361869,0.5012707,0.32582387,0.04945,0.97856,-0.01397
1,-1.91837,3.19192,1.21933,-1.5987699,0.009023896,0.11533701,1.0250628,0.08245883,-0.19779584,1.0250628,-0.021971475,-0.16734299,0.16775867,-0.020174202,0.49595508,0.26706448,0.05095,0.98015,-0.02339
