1,2,3,4,5
1236.92338,1309.17486,1289.17382,1190.3227,1144.01505
1100.81423,1190.02893,1150.04501,1100.3059,21.27681
8.15141,8.02778,7.83569,8.25484,11.09436
4.88301,4.7735,4.7364,4.78389,6.68132
3.81083,3.76271,3.73505,3.84178,5.55862
3.64006,3.57807,3.55967,3.66948,4.14865
3.54625,3.51576,3.4972,3.57874,3.75078
3.50313,3.4667,3.45174,3.52967,3.6235
3.46622,3.44435,3.43048,3.49311,3.55159
3.4484,3.40769,3.39676,3.47295,3.4873
3.61593,3.60722,3.62335,3.61584,3.6481
3.40978,3.39968,3.43752,3.40833,3.44737
3.34331,3.34932,3.3918,3.34329,3.38842
3.32262,3.32698,3.36224,3.32453,3.34175
3.3153,3.3183,3.35128,3.31815,3.32464
3.31131,3.31034,3.33837,3.31438,3.31206
3.30135,3.30568,3.33081,3.30917,3.30599
3.29848,3.29517,3.32821,3.30574,3.30034
3.29644,3.2931,3.32598,3.29699,3.29721
3.29468,3.28902,3.3244,3.29581,3.29305
3.54931,3.46617,3.49529,3.47691,3.48802
3.42427,3.32504,3.36788,3.35064,3.34685
3.38155,3.2892,3.33479,3.31607,3.31235
3.36945,3.27696,3.32358,3.30567,3.3015
3.36677,3.27407,3.32011,3.30251,3.29818
3.3652,3.27237,3.31812,3.30077,3.29603
3.36396,3.2708,3.31634,3.29957,3.29396
3.36302,3.2697,3.31503,3.29838,3.29256
3.36212,3.26633,3.31379,3.29742,3.2885
3.36139,3.26559,3.31279,3.2943,3.28724
3.45932,3.5576,3.45056,3.52234,3.51845
3.33118,3.41579,3.33518,3.39992,3.38537
3.29852,3.36419,3.30484,3.36448,3.34708
3.28602,3.34975,3.29499,3.35248,3.33588
3.28255,3.34612,3.29235,3.34914,3.33309
3.28112,3.34481,3.2908,3.34763,3.33176
3.27876,3.34364,3.28923,3.34558,3.33064
3.27719,3.34278,3.28818,3.34424,3.32981
3.27658,3.34057,3.28447,3.3415,3.32901
3.27609,3.33979,3.28333,3.34106,3.32838
3.42184,3.46421,3.46679,3.48109,3.47452
3.30127,3.32144,3.33447,3.35879,3.33977
3.26403,3.27881,3.29523,3.3246,3.30141
3.25415,3.26631,3.28384,3.31389,3.28889
3.25197,3.26271,3.28115,3.31164,3.28648
3.25069,3.26132,3.27981,3.31014,3.28513
3.24976,3.25943,3.27771,3.30919,3.2841
3.24907,3.25815,3.2763,3.30642,3.28328
3.24829,3.25702,3.27578,3.30544,3.28257
3.24767,3.25601,3.27511,3.30497,3.28193
3.47974,3.4978,3.51678,3.42992,3.52176
3.35964,3.36786,3.38985,3.31205,3.39435
3.33049,3.33136,3.3589,3.27867,3.3554
3.32156,3.3201,3.34718,3.26827,3.34374
3.31903,3.31752,3.3429,3.26547,3.34149
3.31755,3.3162,3.34089,3.26446,3.34008
3.3158,3.31508,3.33815,3.2621,3.33923
3.31467,3.31431,3.33635,3.26135,3.33652
3.31372,3.31352,3.33568,3.26081,3.33571
3.31308,3.31295,3.33512,3.26036,3.33512
3.43074,3.4883,3.46213,3.44071,3.42197
3.32613,3.38754,3.34833,3.34438,3.31671
3.30093,3.36311,3.31952,3.31864,3.28491
3.29261,3.35448,3.31064,3.31065,3.27627
3.28965,3.35219,3.3086,3.30874,3.27476
3.28839,3.35079,3.30735,3.30752,3.27365
3.28557,3.34943,3.30645,3.30665,3.27298
3.28476,3.34852,3.30561,3.30594,3.27076
3.28395,3.34578,3.30504,3.30539,3.27046
3.28323,3.34539,3.30366,3.30488,3.26996
3.4595,3.5533,3.48988,3.44642,3.42971
3.3254,3.42598,3.36396,3.32878,3.31689
3.28732,3.39373,3.3305,3.30133,3.28384
3.27583,3.3834,3.31952,3.28946,3.2738
3.27251,3.38057,3.3171,3.28628,3.27138
3.27137,3.37928,3.31577,3.28485,3.27025
3.26946,3.37798,3.31441,3.2833,3.26872
3.26829,3.3771,3.31348,3.28238,3.26776
3.26769,3.3751,3.31177,3.28075,3.26589
3.2672,3.37461,3.31058,3.27964,3.26533
3.49491,3.45614,3.53958,3.47924,3.5214
3.37397,3.34258,3.40881,3.3425,3.39818
3.34022,3.31283,3.37483,3.30878,3.3671
3.3298,3.30393,3.36444,3.29787,3.35582
3.32772,3.30169,3.36164,3.29434,3.35077
3.32628,3.30057,3.36038,3.29276,3.34894
3.32549,3.29955,3.35924,3.28928,3.34636
3.32287,3.2989,3.35854,3.28835,3.34485
3.32239,3.29817,3.35797,3.28776,3.34424
3.32078,3.29767,3.35741,3.28728,3.34372
3.50954,3.4644,3.42256,3.51833,3.49656
3.37086,3.34267,3.30527,3.38482,3.36679
3.339,3.30992,3.2765,3.34822,3.33307
3.32671,3.30085,3.26656,3.33746,3.32362
3.32395,3.29851,3.26359,3.33458,3.32096
3.32181,3.29726,3.26238,3.33341,3.31926
3.32051,3.29576,3.26021,3.33026,3.31805
3.3163,3.29481,3.2588,3.32952,3.3171
3.31585,3.29418,3.25838,3.32872,3.31635
3.31549,3.29372,3.25802,3.32804,3.3157
3.45684,3.36083,3.46769,3.38666,3.4591
3.33472,3.24049,3.35714,3.2689,3.3217
3.30137,3.20688,3.32466,3.24245,3.2845
3.28994,3.19727,3.31474,3.23376,3.2732
3.28742,3.19507,3.31212,3.23116,3.2695
3.28619,3.19408,3.31121,3.22938,3.26823
3.28471,3.19238,3.30974,3.22797,3.26627
3.28395,3.19132,3.30881,3.22702,3.26524
3.28303,3.19093,3.30835,3.22442,3.26407
3.28242,3.19061,3.30797,3.22355,3.26346
3.46249,3.42309,3.40735,3.51383,3.47966
3.34661,3.31085,3.29773,3.38772,3.35881
3.32005,3.28075,3.26742,3.34892,3.32958
3.31117,3.27144,3.25886,3.33918,3.31925
3.30912,3.26943,3.25691,3.33682,3.31628
3.30776,3.26827,3.25584,3.33559,3.31468
3.3069,3.2675,3.25489,3.33387,3.31312
3.30438,3.26631,3.25425,3.33252,3.31204
3.3037,3.26534,3.25215,3.33194,3.31064
3.30327,3.26503,3.25172,3.33145,3.30946
3.42075,3.45196,3.40177,3.44349,3.41973
3.32306,3.34582,3.30434,3.33927,3.32488
3.29443,3.32047,3.2718,3.31245,3.30004
3.28587,3.31141,3.26315,3.30345,3.29348
3.28398,3.30873,3.26089,3.3007,3.29172
3.28313,3.30731,3.26015,3.29949,3.29076
3.28213,3.30645,3.25835,3.29854,3.28948
3.28153,3.3044,3.25752,3.29788,3.28861
3.28018,3.30332,3.25675,3.29739,3.28826
3.27992,3.30305,3.25632,3.2962,3.2879
3.46414,3.44911,3.44432,3.44766,3.48837
3.34525,3.31726,3.32208,3.31512,3.36148
3.31154,3.28137,3.28304,3.28535,3.32821
3.30109,3.27066,3.27221,3.27482,3.31733
3.29896,3.26755,3.26997,3.27124,3.31503
3.29792,3.26629,3.2689,3.26976,3.31347
3.29687,3.26507,3.26792,3.26778,3.31256
3.29623,3.26434,3.26731,3.26649,3.31117
3.29424,3.26296,3.2658,3.26612,3.31034
3.29396,3.26191,3.26523,3.26481,3.30971
3.51161,3.50202,3.4634,3.44453,3.52086
3.38444,3.37308,3.34136,3.31078,3.38974
3.34816,3.32847,3.30873,3.27725,3.35685
3.33796,3.31837,3.29963,3.26766,3.34635
3.33525,3.31629,3.29792,3.26484,3.34383
3.33411,3.31522,3.29675,3.26339,3.34258
3.33134,3.31426,3.29602,3.26122,3.34156
3.33085,3.31371,3.29494,3.2597,3.34087
